voluntary work	le bénévolat
“She came to Brittany when war broke out.”	Elle est venue en Bretagne, lorsque la guerre a éclaté.
Fruit was a lot less expensive before the country’s entry into the EU.”	Les fruits étaient beaucoup moins chers avant l’entrée du pays dans l’Union européenne.
There is a preferential price for unemployed people and the elderly”	Il y a un tarif préférentiel pour les chômeurs et les personnes âgées.
If wealth was better distributed, there would be less poverty	Si les richesses étaient mieux distribuées, il y aurait moins de pauvreté.
She never stops complaining”	Elle n’arrête pas de se plaindre.
They never stop working ! They’re like ants	Ils n’arrêtent pas de travailler. De vraies fourmis
We didn’t have to help you! Show a little gratitude !	Nous n’étions pas obligés de t’aider ! Montre un peu de gratitude!
She didn’t have to talk to me about it. It’s good that she did.”	Elle n’était pas obligée de m’en parler. C’est bien qu’elle l’ait fait.
Don’t touch the paintings !”	Ne touche pas aux tableaux !
It’s the first time I’ve listened to this music.	"c'est la première fois que j'écoute cette musique."
She came here before when she was in university.	"elle est déjà venue ici lorsqu'elle était en fac(ulté)"
In her address, she spoke of unemployed people.	lors de son discours, elle a parlé des chômeurs.
If I were in your place, I would buy it.	"si j'étais à ta place, je l'achèterais."
If he were here, he would know what to do.	"s'il était là, il saurait quoi faire."
She didn’t see Michel when she was in Paris?!	"elle n'a pas vu michel quand elle était à paris?!"
They’re interested in swimming.	"ils s'intéressent à la natation."
Don’t touch the computer.	"(ne) touchez pas à l'ordinateur!"
She never stops reading !	"elle n'arrête jamais de lire"
Do you often take photos ?	est-ce que tu prends/vous prenez souvent des photos?
Il va s’allonger un peu	He’s going to lie down for a moment
What did you do to yourself ?”	Qu’est-ce que tu t’es fait ?
“Gilles looks a sorry sight ! What did he do to himself ?	Gilles a l’air mal-en-point ! Qu’est-ce qu’il s’est fait ?
She ran a marathon yesterday. She is stiff today.	Elle a fait un marathon hier. Elle a des courbatures aujourd’hui.
Are you following what I’m saying ?”	Vous me suivez ?
She took me around the shops”	Elle m’a emmené faire les boutiques.
They should have told us they were moving out	Ils auraient dû nous dire qu’ils déménageaient.
We would have helped them.	Nous les aurions aidés !
Do you take me for an idiot ?	Tu me prends pour un idiot ?
May that be a lesson to you !	Que ça te serve de leçon !
He’s going to go and lie down for a bit.	"il va aller s'allonger un peu."
What did they do to themselves?	"qu'est-ce qu'ils se sont fait?"
You look a sorry sight !	"tu as l'air mal-en-point."
After the tennis yesterday, she’s stiff today.	"après le tennis hier, elle a des courbatures aujourd'hui."
They’re not following me.	ils ne me suivent pas.
I took them for a little trip in a boat.	je les ai emmenés faire une promenade en bateau
You should have shown him the device.	"tu aurais dû lui montrer l'appareil."
I should have phoned Mike.	"j'aurais dû téléphoner à mike. (j'aurais dû appeler mike. / j'aurais dû passer un coup de fil à mike.)"
They would have visited the Eiffel Tower. [Suppose you’re talking about two girls.]	elles auraient visité la tour eiffel.
We almost left. [to leave = partir / quitter]	on a failli partir.
Lucie isn’t here. She’s doing her good deed of the week	Lucie n’est pas là, elle fait sa bonne action de la semaine.
She’s teaching children from disadvantaged families how to read.”	Elle apprend à lire aux enfants issus de familles défavorisées.
It’s on now on TF1”.	Ça passe maintenant sur TF1.
“It seems that certain operations cannot take place”	Il paraît que certaines opérations ne peuvent pas avoir lieu.
It seems the meeting cannot take place. Two attendees are stuck in Charles deGaulle airport.”	Il paraît que la réunion ne peut pas avoir lieu. Deux des intervenants sont bloqués à l’aéroport Charles de Gaulle.
That’s why I went”.	C’est bien pour ça que j’y suis allé.
“Hey, do you know it’s my birthday today ?”	Au fait, tu sais que c’est mon anniversaire aujourd’hui ! ?
Yes, it’s for that reason that I’m making a cake.”	Oui, c’est bien pour ça que je fais un gâteau.
My mother faints every time she sees a mouse !”	Ma mère tombe dans les pommes à chaque fois qu’elle voit une souris !
If they could eat every night in a restaurant, they would. They hate cooking.”	S’ils pouvaient manger tous les soirs au restaurant, ils le feraient. Ils détestent faire la cuisine.
She promised herself she would lose three kilos before the summer.”	Elle s’est promis de perdre trois kilos avant l’été.
It’s for that reason that I phoned him.	"C'est pour ça que je lui ai téléphoné / que le l'ai appelé"
Any time I see blood, I faint !	À chaque fois que je vois du sang, je tombe dans les pommes!
Every time he arrives, it’s chaos ! [… le chaos]	"À chaque fois qu'il arrive, c'est le chaos!"
She fainted.	"Elle est tombée dans les pommes / s'est évanouie."
The girls fainted.	Les filles sont tombées dans les pommes / se sont évanouies.
Don’t say that.	(Ne) dites pas ça!
He did a good deed yesterday : he visited the old woman at the corner. [… rendre visite à (quelqu’un) / … au coin (de la rue)]	# Il a fait une bonne action hier : il a rendu visite à la vieille dame au coin de la rue.
We went to see our neighbours.	Nous sommes allé(e)s voir nos voisins. / (Nous avons rendu visite à nos voisins).
The concert isn’t going to take place tomorrow.	Le concert ne va pas avoir lieu demain.
If I could see her, I would.	Si je pouvais la voir, je le ferais.
He has just finished his studies. He’s looking for a job.”	Il vient de terminer ses études. Il recherche un emploi.
I’ve just arrived. I haven’t even emptied my suitcases yet.”	Je viens d’arriver. Je n’ai même pas encore vidé mes valises.
“She needs time to think. Can she give you her answer tomorrow ?”	Elle a besoin de temps pour réfléchir. Peut-elle vous donner sa réponse demain ?
She must learn to delegate her responsabilities. She cannot doeverything herself”	Elle doit apprendre à déléguer ses responsabilités. Elle ne peux pas tout faire elle-même.
The file must be ready for tomorrow.”	Il faut que le dossier soit prêt pour demain.
There’s no question of botching this job. It must be done well.”	Il n’est pas question de bâcler ce travail. Il faut que ce soit bien fait.
I was thinking I might be able to leave on time but a client called.”	Je pensais pouvoir partir à l’heure, mais un client a appelé !
I was thinking I might be able to employ a new person but I’m going to wait a while.”	Je pensais pouvoir embaucher une nouvelle personne, mais je vais attendre un peu.
When it comes to paying out money, the boss pulls a long face	Lorsqu’il s’agit de débourser de l’argent, le patron fait grise mine !
You mustn’t joke with that !”	Il ne faut pas plaisanter avec ça !
Do you know anyone who could give me a hand with my car?	"tu connais quelqu'un qui peut me donner un coup de main avec ma voiture?"
He needs to redo his CV.	il a besoin de refaire son cv.
It’s a programmer that they need for that job.	"c'est un programmeur qu'il leur faut pour ce travail."
He can’t do everything himself.	il ne peut pas tout faire lui-même.
When it comes to creating new contacts, Jérôme finds it difficult.	"quand il est question de créer de nouveaux contacts, jérôme trouve ça difficile. [or, ""quand il sa'git de…""]"
She is going to have to choose either the green or the red. [… soit le vert, soit …]	elle va devoir choisir soit le vert soit le rouge.
It’s the least of my concerns.	"c'est le moindre de mes soucis"
They botched their homework.	ils ont bâclé leurs devoirs / leur devoir.
They employed ten workers last year.	"ils ont embauché dix ouvriers l'année dernière"
It’s not a question of increasing taxes, but of finding other solutions.	"il n'est pas question d'augmenter des taxes, mais de trouver d'autres solutions."
Do you know someone who knows about air conditioning ?”	Est-ce que tu connais quelqu’un qui s’y connaît en climatisation ?
we get by with our small budget”.	Nous nous débrouillons plutôt bien avec notre petit budget !
They gave me a hand to lift the fridge”	Ils m’ont donné un coup de main pour soulever le frigo.
I’m looking for someone to create a website”.	Je cherche quelqu’un pour créer un site Internet.
“I’m looking for someone to mind my son on Saturday.”	Je cherche quelqu’un pour garder mon fils samedi.
Il cherche quelqu’un de motivé pour remplacer sa secrétaire.	He’s looking for someone motivated to replace his secretary.”
“I don’t know too much about Russia”	Je ne connais pas trop la Russie.
How do you mean I’m too old for the job ?!	Comment ça, je suis trop vieille pour ce poste ?!
“I’m going to give you a friend’s address”.	Je vais te filer l’adresse d’un ami.
As they’re not there this weekend, they gave me the keys of their appartment”	Comme ils ne sont pas là ce week-end, ils m’ont filé les clefs de leur appart.
Do you know anyone who knows about architecture?	"tu connais quelqu'un qui s'y connaît en architecture?"
He knows about medicine.	"il s'y connaît en médecine."
Can she give them a hand on Sunday morning?	peut-elle leur donner un coup de main dimanche?
I don’t want to complicate my life with all that!	je ne veux pas me compliquer la vie avec tout ça!
You only have to find someone who knows about gardening.	"tu n'as qu'à trouver quelqu'un qui s'y connaît en jardinage."
It’s a lot more difficult than that!	"c'est beaucoup plus difficile que ça!"
She has four of them.	elle en a quatre.
That doesn’t interest us at all.	cela ne nous intéresse pas du tout.
They get by fine in the country.	ils se débrouillent bien à la campagne.
I’m looking for someone to give a hand in the office.	"je cherche quelqu'un pour me donner un coup de main au bureau."
It’s weeks since I’ve seen Pierre.”	Ça fait des semaines que je n’ai pas vu Pierre.
He’s been trying to contact you for weeks”.	Ça fait des semaines qu’il essaye de te joindre !
We’ve been eating the same thing for weeks ! I’m fed up of it !”	Ça fait des semaines que nous mangeons la même chose. J’en ai marre !
What have you been up to ?	Qu’est-ce que tu deviens ?
Someone stole my wallet. I no longer have either a cheque book or a credit card.”…	On m’a volé mon portefeuille. Je n’ai plus ni chéquier, ni carte de crédit !
We discussed quite a few interesting things”…	On a parlé de pas mal de choses intéressantes.
“They played quite a few Ella Fitzgerald songs	Ils ont passé pas mal de chansons d’Ella Fitzgerald.
“A girl was assaulted on the métro. Le plus choquant, c’est que les passagers ne sont pas intervenus.	Une jeune fille s’est fait agressée dans le métro. Le plus choquant, c’est que les passagers ne sont pas intervenus.
It took a month	Ça a mis un mois.
When her boyfriend left, she took time to get over it.”	Quand son petit ami est parti, elle a mis du temps à s’en remettre.
Every morning, it takes her 2 hours to get to work	Tous les matins, elle met deux heures pour se rendre au boulot.
They cannot allow themselves to buy a new car! They’re up to their necks in debt.”	Ils ne peuvent pas se permettre d’acheter une nouvelle voiture. Ils sont endettés jusqu’au cou !
We went to the butcher’s to buy steaks”…	On est allé chez le boucher pour acheter des biftecks
What’s become of her?	"qu'est-ce qu'elle devient?"
He didn’t have time to read.	"il n'a pas eu le temps de lire."
It took two weeks.	ça a mis deux semaines.
They saw nothing. [Suppose you are talking about two girls.]	"elles n'ont rien vu."
They had no more electricity.	"ils n'avaient plus d'électricité."
It’s been years since I’ve seen Pierre.	"ça fait des années que je n'ai pas vu pierre."
It’s been weeks since she’s written.	"ça fait des semaines qu'elle n'a pas écrit."
I’ve seen quite a few interesting sites.	"j'ai vu pas mal de sites intéressants."
They bought quite a few books.	ils ont acheté pas mal de livres.
He didn’t intervene?! But why?…	"il n'est pas intervenu?! mais pourquoi?…"
Is it really you who started art classes ?”	C’est bien toi qui as commencé des cours de dessin ?
He goes there at 6 p.m.”,	Il y va à dix-huit heures.
I’m afraid of not succeeding with this deal	J’ai peur de ne pas réussir cette négociation
There are all sorts of things to learn	Il y a toutes sortes de choses à apprendre.
In this attic there are all sorts of books, waiting to be read.”	Dans ce grenier, il y a toutes sortes de livres qui attendent d’être lus.
He mocked me !”	Il s’est moqué de moi.
“I don’t appreciate it that you are mocking me !”	Je n’apprécie pas que tu te moques de moi !
Go ahead … mock all you like … he who laughs last, laughs longest !”	Moquez-vous ! Rira bien qui rira le dernier !
They took French classes for 3 months when they were in Paris.”	Ils ont pris des cours de français pendant trois mois quand ils étaient à Paris.
Do you like it ?	ça vous plaît?
He plays on Thursdays.	il joue le jeudi.
They began this year.	ils ont commencé cette année.
He goes there three times a week.	il y va trois fois par semaine.
They are afraid of the teacher.	ils ont peur du professeur.
He is afraid of being cheated. [tricher]	"il a peur d'être triché."
Have they made progress? [Suppose you are talking about the girls in class.]	"elles ont fait des progrès? [or, ""est-ce qu'elles ont fait…?"", or, ""ont-elles fait…?""]"
He looks more like a boxer than a pianist! [boxeur / pianiste]	"il ressemble plus à un boxeur qu'à un pianiste!"
Her classmates made fun of her. [ses camarades de classe]	"ses camarades de classe se sont moquées d'elle. [that is, assuming her classmates are all girls; if it is a mixed group, we would have ""… se sont moqués d'elle.""]"
the people you see in the street.	les gens que vous voyez dans la rue.
I heard something on the radio, you would say	J’ai entendu quelque chose à la radio.
I don’t know the title of this song … what is it ?	Je ne connais pas le titre de cette chanson. C’est quoi ?
She doesn’t know the title of the book you’re talking about	Elle ne connaît pas le titre du livre dont tu parles.
She was taking a shower when the phone rang.	Elle était en train de prendre une douche quand le téléphone a sonné.
We were eating when someone knocked on the door.	Nous étions en train de manger quand quelqu’un a frappé à la porte.
He found your keys ! He stumbled upon them by chance.	Il a trouvé tes clés – il est tombé dessus par hasard.
Rummaging around in boxes, I stumbled upon an old family photo	En fouillant dans des cartons, je suis tombée sur une vieille photo de famille.
It’s on on Monday evenings at 9.	Ça passe le lundi soir à 9 heures.
It’s on every evening at 8.	Ça passe tous les soirs à 8 heures.
This music allows you to relax after work	Cette musique permet de se détendre après le travail.
This programme allows you to stay informed	Ce programme permet de se tenir informé.
Every night, she stays up until her husband returns home.	Toutes les nuits, elle reste éveillée jusqu’à ce qu’à ce que son mari rentre à la maison.
She went to bed early. [tôt / de bonne heure]	"elle s'est couchée de bonne heure."
They went to bed late. [Suppose you are talking about the girls.]	elles se sont couchées tard
That film – what time is it on?	ce film? ça passe à quelle heure?
A little while ago I met Jean. [rencontrer]	"j'ai rencontré jean il y a peu de temps."
She was preparing the dinner when Gilles arrived. [préparer le dîner]	elle préparait le dîner quand gilles est arrivé.
They stumbled upon it by chance. [Suppose you are talking about the two boys.]	ils sont tombés dessus par hasard.
It’s on (TV) every Friday at 6.	ça passe tous les vendredis soirs à 6 heures.
Every night they stay up until 1 a.m.	"ils restent éveillés tous les soirs jusqu'à 1 heure."
You can use mine !	Tu peux utiliser le mien.
You cannot use his.	Tu ne peux pas utiliser le sien.
human rights	les droits de l’homme
I would prefer if it were fine. Then we could go out.	Je préférerais qu’il fasse beau. Comme ça, on pourrait sortir !
I’m convinced that the French don’t know who to vote for !	Je suis persuadée que les Français ne savent pas pour qui voter.
I think we must believe in him. He’s going to pass his exams.	Je pense qu’il faut croire en lui. Il va réussir ses examens.
He gave me his opinion but I didn’t give him mine.	"il m'a donné son avis mais je ne lui ai pas donné le mien."
He wasn’t able to reach his goal. [… atteindre son objectif]	"il n'a pas pu atteindre son objectif"
He expresses himself in a strange way. [… d’une manière étrange]	"il s'exprime de manière étrange."
The inquiry did not conclude.	"l'enquête n'a pas abouti."
She would prefer that I take the bus.	elle préférerait que je prenne le bus.
They would prefer that we wait.	ils préféreraient que nous attendions.
I hope to pass my exams.	"j'espère réussir mes examens."
He is convinced that they will vote in favour of Mr Jones.	"il est persuadé qu'ils voteront/vont voter en faveur de m. jones."
He should revise his lessons !	il devrait réviser ses leçons!
I follow all the political debates on TV”.	Je suis tous les débats politiques à la télé.
I’m so disappointed by your attitude.”	Je suis tellement déçue par ton attitude
Do you know why I’m sulking ? ! Because you’re never here !	Tu veux savoir pourquoi je fais la tête ? Parce que tu n’es jamais là !
“I fear that she won’t want me to go on holidays in July”	J’ai peur qu’elle ne veuille pas que je parte en vacances en juillet.
Are you following the World Cup ?	tu suis la coupe du monde?
They were disappointed. [Suppose that you are talking about your two sisters.]	Elles ont été déçues
The boys were injured.	Ils ont été blessés
There’s no chance of him financing his electoral campaign.	il ne risque pas de financer sa campagne électorale.
The meeting is taking place on Friday.	La réunion se tient / se tiendra vendredi.
Do you think she has a chance of winning?	"Tu crois qu'elle a ses chances de gagner?"
She doesn’t share the opinion of her boss. [son patron]	"Elle ne partage pas l'opinion de son patron."
Why is she sulking?	Pourquoi elle fait la tête? / Pourquoi fait-elle …?
They’re studying law at Yale university.	"Ils font du droit à (l'université) Yale."
They like to stay informed.	Ils aiment se tenir informés.
What do you think of the lack of teachers in schools?	Que pensez-vous du manque de professeurs dans les lycées ?
What do they think of our new house ?	Que pensent-ils de notre nouvelle maison
she is not the best informed to talk about it”	Elle n’est pas la mieux informée pour en parler.
They are not the best informed	Ils ne sont pas les mieux informés pour en parler.
“She’s following a get-fit programme”.	Elle suit un programme de remise en forme.
Marie panicked – a suspicious guy was following her.”	Marie a paniqué – un individu suspect la suivait.
One cannot trust surveys.”	On ne peut pas se fier aux sondages.
We should trust the experts”	Nous devrions nous fier aux experts.
I agree completely with you on this point”,	Je suis tout à fait d’accord avec toi sur ce point.
Innocent people are dying … without any favourable outcome in sight.”	Des gens innocents meurent sans qu’aucune issue favorable ne voie le jour !
According to an article I read recently	D’après un article que j’ai lu récemment
According to the papers, François Bayrou is going up again in the surveys”	D’après les journaux, François Bayrou remonte dans les sondages.
Au sein du gouvernement français, Nicolas Sarkozy est ministre de l’intérieur.	Within the current government, Nicolas Sarkozy is the interieur minister
He is going to strive to explain why.	Il va s’efforcer d’expliquer pourquoi.
She isn’t the best informed to talk about it.	"elle n'est pas la mieux informée pour en parler."
What are you doing today? I’m doing nothing much.	"que fais-tu aujourd'hui? moi, je ne fais pas grand-chose."
It’s a complicated subject.	"c'est un sujet compliqué."
I read an interesting article this morning.	"j'ai lu un article intéressant ce matin."
What does she think of the situation in Paris?	que pense-t-elle de la situation à paris?
We follow the news quite regularly.	on suit / nous suivons les informations assez régulièrement.
I’m not sure you can trust what he says.	"je ne suis pas sûr que l'on puisse se fier à ce qu'il dit."
Jack is in complete agreement with Jill.	"jack est tout à fait d'accord avec jill."
According to the news, the Italian team has won. [… l’équipe italienne]	"d'après les informations, l'équipe italienne a gagné."
He must strive to find a solution.	"il doit s'efforcer de trouver une solution."
What’s wrong ?”,	Qu’est-ce qui ne va pas ?
He has been working for two hours”	Il travaille depuis deux heures.
We thought you were sick”	Nous pensions que vous étiez malade.
I thought I would easily pass this test.”	Je pensais réussir facilement ce test.
We stayed outside all afternoon, it was so nice	Nous sommes restés dehors tout l’après-midi, il faisait si beau.
she stayed at home yesterday as it was so cold”	Hier elle est restée à la maison car il faisait tellement froid.
we started singing”	Nous nous sommes mis à chanter.
By now, the poison has spread	A l’heure qu’il est, le poison s’est déjà propagé.
“By now, she should have arrived.”	A l’heure qu’il est, elle devrait déjà être arrivée.
By now, the train must have left.”	A l’heure qu’il est, le train doit être parti.
To delay”	s’attarder
It’s going to be stormy. We had better not delay.”	Il va faire orage. Mieux vaut ne pas s’attarder.
He will keep us informed”.	Il va nous tenir informés.
I hope he will get better	J’espère qu’il va se rétablir.
Yesterday she was fine.	hier elle allait bien
She stayed out in the rain.	elle est restée dehors sous la pluie.
She started crying. [pleurer]	"elle s'est mise à pleurer"
They started preparing the meal. [Suppose that you are talking about Mr and Mrs Jones.]	ils se sont mis à préparer le repas.
They started picking up stones. caillou (m)]	elles se sont mises à cueillir des cailloux.
Don’t worry ! [Suppose that you are addressing two people.]	ne vous inquiétez pas!
The sun disappeared behind the clouds. [soleil (m) / nuage (m)]	le soleil a disparu derrière les nuages.
What’s important is the result	"ce qui est important c'est le résultat."
Is it possible that she lost the document ?	"est-il possible qu'elle ait perdu le document?"
It would be better to talk of something else.	"mieux vaut parler d'autre chose!"
I’ve finished revising”	"J'ai fini de reviser"
He has finished playing.”	Il a fini de jouer.
He no longer has a sore elbow”	Il n’a plus mal au coude.
There is no more butter in the fridge”	Il n’y a plus de beurre au frigo.
we no longer go to eat at the Indian restaurant”	Nous n’allons plus manger au restaurant indien.
A storm is going to batter Brittany in the coming hours”	Une tempête va s’abattre sur la Bretagne dans les heures à venir.
In the coming days”	dans les jours à venir
He has finished correcting the exercises. [corriger / les devoirs]	Elle a fini de corriger les devoirs.
She has no more pain.	"Elle n'a plus mal."
Don’t drink anything ! [Suppose you are addressing several people.]	Ne buvez rien!
It was very difficult for you to concentrate. [Suppose you are addressing several people.]	"C'était très difficile de vous concentrer."
That should last three weeks.	Cela devrait durer trois semaines.
They should cost about e100.	Ils devraient (vous) coûter cent euros.
He declared proudly that …	Il a déclaré fièrement que …
Avoid them completely !	Evitez-les complètement!
A surprise awaits us in the days to come. [attendre]	Une surprise nous attend dans les jours à venir.
She was in agony.	"Elle était à l'agonie."
She didn’t tell me the truth”	Elle ne m’a pas dit la vérité.
sensitivity {faux ami}	la sensibilité
I’m going to look after it tomorrow”,	Je vais m’en occuper demain.
He is going to look after it next week”,	Il va s’en occuper la semaine prochaine.
I want you to tell me if …”	Je veux que vous me disiez si …
I want you to tell me why you did that !”	Je veux que tu me dises pourquoi tu as fait ça !
He’s waiting for the train leave.”	Il attend que le train parte.
“we’re waiting for you to leave”	Nous attendons que tu sois parti.
I have a sore tooth at the back, on the left.	"j'ai mal à une dent à l'arrière, à gauche."
He has sore eyes.	il a mal aux yeux
She has a sore back.	elle a mal au dos.
They’ll wait for us to arrive.	ils vont attendre que nous arrivions.
He’ll wait for us to call him.	"il va attendre que nous l'appelions"
You’re going to have to pay for the repair. [la réparation]	tu vas devoir payer la réparation.
She told me you were sick. [être malade]	"elle m'a dit que tu étais malade."
I’ll look after it this afternoon.	"je m'en occupe cet après-midi / je vais m'en occuper cet après-midi."
I would like to make an appointment with the doctor	J’aimerais avoir un rendez-vous avec le docteur.
I never had an appointment with the doctor	Je n’ai jamais eu de rendez-vous avec le docteur.
I’m making an appointment for my daughter	Je prends (un) rendez-vous pour ma fille.
He is making an appointment for them”	Il leur prend (un) rendez-vous.
“I’m looking for some job or other”,	Je cherche un quelconque emploi
She would like to make an appointment to see the doctor.	elle aimerait prendre / avoir un rendez-vous avec le docteur / pour voir le docteur.
Has she come to the bank before?	est-elle déjà venue à la banque?
I haven’t yet had an appointment with this accountant. [comptable [m]]	"je n'ai encore jamais eu de rendez-vous avec ce comptable"
They haven’t yet had an appointment with this lawyer.	"ils n'ont encore jamais eu de rendez-vous avec cet avocat."
She can make an appointment for you for Saturday.	elle peut vous prendre un rendez-vous pour samedi.
Is he experiencing some kind of pain ?	"est-ce qu'il ressent une quelconque douleur?"
She has been sick since last week.	elle est malade depuis la semaine dernière.
I saw him once.	"je l'ai vu une fois."
It’s been six months !	ça fait six mois!
That would not suit us.	cela ne nous conviendrait pas. / cela ne nous convient pas.
How may I help you ?”	Que puis-je faire pour vous ?
We would like to reserve a table for 6 o’clock.”	Nous aimerions réserver une table pour 6 heures.
“She still has a little money, but not much”	Elle a encore un peu d’argent, mais pas beaucoup.
They still have bread. Do you want some ?”	Ils ont encore du pain. Tu en veux ?
In whose name shall I make the reservation ?”	A quel nom dois-je faire la réservation ?
We’ll be happy to welcome you on Friday”.	Nous serons heureux de vous accueillir vendredi.
What can I do for them?	que puis-je faire pour eux?
They would like to stay at home.	ils aimeraient rester à la maison.
I would like to reserve a table for six, for tomorrow evening around eight.	"j'aimerais réserver une table pour six (personnes), demain soir vers huit heures."
Would you have a table free at nine?	auriez-vous / est-ce que vous auriez une table de libre vers neuf heures?
It’s in the name of Smith.	"c'est au nom de smith."
Is there a supermarket nearby?	y a-t-il un supermarché à proximité?
There’s a bank about a hundred metres from the library.	il y a une banque à environ cent mètres de la bibliothèque.
The petrol station is open seven days a week.	la station-service est ouverte sept jours sur sept
Do you write that with a “J”?	"vous l'écrivez avec un 'j'?"
They’ll be happy to welcome you on Sunday.	ils seront heureux de vous accueillir dimanche.
They would like you to be gentle with them	Ils aimeraient que tu sois plus gentil avec eux.
we’re going to go into the other room”.	On va passer dans l’autre pièce
He’s trying to learn Spanish in a month !”	Il essaie d’apprendre l’espagnol en un mois.
I have a sore heel”.	J’ai mal au talon.
Elle a mal partout.	she is sore everywhere.
bring them back” (shoes)	Ramenez-les-moi !
I’d like to hire a car, please.	"j'aimerais louer une voiture, s'il vous plaît."
They would like to hire bicycles.	ils aimeraient louer des vélos.
Follow me! Let’s go into the other room. [Suppose that you are talking to a friend.]	"suis-moi! passons dans l'autre pièce."
May I try it on?	"puis-je l'essayer?"
He thinks they are too big. [Suppose we are talking about a pair of shoes.]	"il pense qu'elles sont trop grandes. [des chaussures]"
She thinks they are too short. [Suppose we are talking about a pair of trousers.]	"elle pense qu'il est trop court. [un pantalon]"
I take them a size bigger, if possible.	"je les prends une taille plus grande, si (c'est) possible."
Would you have a pair in size 42?	auriez-vous une paire de quarante-deux?
What is her shoe size?	quelle est sa pointure?
Would they have a size smaller?	auraient-ils une taille plus petite?
“I can manage to count to ten in Italian”	J’arrive à compter en italien jusqu’à dix.
he isn’t managing to find a solution”	Il n’arrive pas à trouver de solution
Thomas has one major flaw : he is selfish” ?	Thomas a un gros défaut : il est égoïste.
Aurélie, has several faults, she is lazy and given to gossiping” ?	Aurélie a plusieurs défauts : elle est paresseuse et bavarde.
He will send Gilles up to the room.”	Il va faire monter Gilles à la chambre.
John speaking… how may I help you?	"john à l'appareil! que puis-je faire pour vous?"
He is going to call you because he cannot get the machine to work.	"il va vous appeler parce qu'il n'arrive pas à faire fonctionner la machine."
They cannot get the operating system to work. [système d’exploitation]	"ils n'arrivent pas à faire fonctionner le système d'exploitation."
He’s not a fool, you know!	"il n'est pas bête à ce point!…"
Has he pressed the blue button?	a-t-il appuyé sur le bouton bleu?
The computer started.	"l'ordinateur s'est mis en marche"
You must insert a CD instead of a DVD. [introduire / insérer]	"vous devez insérer un cd au lieu d'un dvd. [or, ""vous devez introduire…"", or ""tu dois…""]"
They should work on Monday.	ils devraient travailler lundi.
You should see the film.	tu devrais/vous devriez voir le film.
I would like some sugar, please.	"j'aimerais avoir du sucre, s'il vous plaît…"
"j'aimerais avoir du sucre, s'il vous plaît…"	Je voudrais réserver une chambre simple, s’il vous plaît.
a double room	Une chambre double
I have 20 euros left”	Il me reste vingt euros.
T’as eu ton reçu ?	did you get your receipt” ?
You only have to slide it into the slot”,	Vous n’avez qu’à le glisser dans la fente
Would you have a double room and a single room for tomorrow evening?	"Est-ce que vous avez une chambre double et une chambre simple pour demain soir, s'il vous plaît? [or simply ""Avez-vous…?"", or ""Auriez-vous…?""]"
They have three double rooms left.	Il leur reste trois chambres doubles.
Il leur reste trois chambres doubles.	"J'aimerais payer par carte de crédit/carte bleue."
"J'aimerais payer par carte de crédit/carte bleue."	"Ils aimeraient payer en liquide. [or, ""… payer en espèces.""]"
I’m going to enter my PIN.	Je vais entrer mon code confidentiel.
Must I sign here? [devoir]	"Dois-je signer ici? [or, ""Est-ce que je dois…?""]"
Could you have their luggage taken out please?	"Pourriez-vous faire sortir leurs bagages, s'il vous plaît?"
Could you call us at 7 to wake us?	Pourriez-vous nous appeler à sept heures pour nous réveiller?
Did he get a receipt?	"A-t-il eu un reçu? [or, ""Est-ce qu'il a eu …?""]"
It won’t be done.	Ce ne sera pas fait.
He’s is the one who is lagging behind”,	C’est lui qui est à la traîne
"I'm exhausted"	Je suis crevée.
J’ai passé le week-end à préparer...	I spent the weekend preparing...
They belong to an association”	Ils appartiennent à une association
it would be good to repair the roof before winter”.	Il serait bon de réparer le toit avant l’hiver.
it would be good if you started working seriously !”	Il serait bon que tu te mettes à travailler sérieusement.
They are exhausted. [Suppose we are talking about Jane and Caroline.]	Elles sont crevées.
She spent the whole weekend revising.	Elle a passé tout le week-end à réviser.
Why did they do that? [Suppose we are talking about two girls.]	Pourquoi elles ont fait ça?
Jim and David belong to that association. [… cette association]	Jim et David appartiennent à cette association.
It would be good to decide quickly.	Il serait bon de décider vite.
It would be good if you started work. [Suppose you are talking to your friend.]	Il serait bon que tu te mettes au travail.
It is a campaign to encourage young people to vote.	"Il s'agit d'une campagne pour inciter les jeunes à (aller) voter. [C'est une campagne pour…]"
We have forgotten to sign up!	Nous avons oublié de nous inscrire!
They put their two children’s names down for school”	Ils ont inscrit leurs deux enfants à l’école.
My mother signed up for the art course”	Ma mère s’est inscrite au cours de dessin.
What did he do during the holidays?	"Qu'a-t-il fait pendant les vacances? [Il a fait quoi pendant les vacances"
He went skiing.	Il est allé skier. [Il a fait du ski.]
They went skiing in the mountains. [Suppose that we are talking about Marie and Hélène.]	Elles sont allées faire du ski à la montagne.
Did they go to the mountains. [partir. Suppose we are talking about the group of children.]	"Est-ce qu'ils sont partis à la montagne?"
She is not a fan of winter sports.	"Elle n'est pas fan de sports d'hiver."
My sister? She goes to the skating rink or she goes hiking.	Ma soeur? Elle va à la patinoire ou elle fait des randonnées.
Jacques signed up for the Maths course.	"Jacques s'est inscrit au cours de maths."
Jane signed up for the French course.	"Jane s'est inscrite au cours de français."
Did she like it?	"Elle a aimé? [Est-ce qu'elle a aimé?]"
Let’s be careful !	Soyons prudent !
You’re welcome!	De rien !
